answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
25,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Albi-Qeli,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1198585618September 7, 2020 at 6:39:40 AM",8.2K content views198 this month   ;Joined July 2019,,,156
25,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Albi-Qeli,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1198585618September 7, 2020 at 6:39:40 AM",8.2K content views198 this month   ;Joined July 2019,,"Technology does not help, in fact it is the cause of burnout.",157
25,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Albi-Qeli,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1198585618September 7, 2020 at 6:39:40 AM",8.2K content views198 this month   ;Joined July 2019,," Relative to the old paper records, EHR’s generate more admin work and generally increase the BS factor.",158
26,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",William-Toole-6,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196718398September 5, 2020 at 7:15:54 AM",Clinical Team Leader   ;MSW from University of North Carolina at Chapel HillGraduated 1989   ;245.8K content views8K this month   ;Joined October 2018,America,"There is a time-honored tradition of working for a group practice, hospital, clinic, etc.",159
26,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",William-Toole-6,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196718398September 5, 2020 at 7:15:54 AM",Clinical Team Leader   ;MSW from University of North Carolina at Chapel HillGraduated 1989   ;245.8K content views8K this month   ;Joined October 2018,America, that creates a framework you have to honor and becomes grueling;,160
26,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",William-Toole-6,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196718398September 5, 2020 at 7:15:54 AM",Clinical Team Leader   ;MSW from University of North Carolina at Chapel HillGraduated 1989   ;245.8K content views8K this month   ;Joined October 2018,America, and then moving to a private practice model so you have far more control over how you practice.,161
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America,I am an NP.,162
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America," Anyone working in the heath care field needs to consistently practice self care, and maintain boundaries with the word “no”.",163
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America, Exercise and a healthy diet with plenty of protein are not a theoretical thing to be practiced someday in the future.,164
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America, They are essential today.,165
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America, Go to bed on time.,166
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America, Th…,167
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America,(,168
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Marilyn-Hubbard-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America,more),169
28,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",William-Gorman-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1197846346September 6, 2020 at 12:59:38 PM","Former CEO E-C Apparatus Corp an Instrument Maker1969–1991   ;B.S. (Two) from Lehigh University   ;Lived in Florida, Illinois, and Pennsylvania Registered Professional Engineer Actively Licensed   ;3.9M content views89.2K this month   ;Active in 2 Spaces   ;Joined December 2013",America,Some like our primary physician have gone to private pay to limit the number of patients to only those who can pay the yearly fee.,170
